ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment_sch,teacher_fte,prop_frl_sch,re_amind_sch,re_asian_sch,re_black_sch,re_hisp_sch,re_missing_sch,re_multi_sch,re_nathi_sch,re_white_sch,prop_gen_female_sch,prop_gen_miss_sch
410001500821,OR,45.10626,-122.897301,41420,2014-2015,1,41047,Marion County,41,OREGON,Gervais Elementary School,Gervais SD 1,00000000002137,4100015,00000000000000000776,Open,Regular School,No,No,N,444,24.00,0.8423423423423423,0.015765765765765764,0.0045045045045045045,0,0.6869369369369369,0,0.02702702702702703,0,0.26576576576576577,0.4864864864864865,NA
410001500821,OR,45.10626,-122.897301,41420,2015-2016,1,41047,Marion County,41,OREGON,Gervais Elementary School,Gervais SD 1,00000000002137,4100015,00000000002137-00000000000000000776,Open,Regular School,No,No,No,447,22,0.8411633109619687,0.024608501118568233,0.0044742729306487695,0,0.6868008948545862,0,0.015659955257270694,0,0.2684563758389262,0.4988814317673378,NA
410001500831,OR,45.103694000000004,-122.89384100000001,41420,2016-2017,1,41047,Marion County,41,OREGON,Gervais Middle School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000786,Open,Regular School,No,No,No,229,10.97,0.8078602620087336,0.017467248908296942,0.004366812227074236,0,0.6637554585152838,0,0.039301310043668124,0.004366812227074236,0.27074235807860264,0.4672489082969432,0
410001500831,OR,45.103694000000004,-122.89384100000001,41420,2017-2018,1,41047,Marion County,41,OREGON,Gervais Middle School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000786,Open,Regular School,No,No,No,237,11.47,0.8059071729957806,0.008438818565400843,0.008438818565400843,0,0.7046413502109705,0,0.02109704641350211,0.004219409282700422,0.25316455696202533,0.48945147679324896,0
410001500831,OR,45.10382,-122.894561,41420,2014-2015,1,41047,Marion County,41,OREGON,Gervais Middle School,Gervais SD 1,00000000002137,4100015,00000000000000000786,Open,Regular School,No,No,N,219,8.34,0.8082191780821918,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.6940639269406392,0,0.0365296803652968,0,0.2420091324200913,0.4063926940639269,NA
410001500831,OR,45.10382,-122.894561,41420,2015-2016,1,41047,Marion County,41,OREGON,Gervais Middle School,Gervais SD 1,00000000002137,4100015,00000000002137-00000000000000000786,Open,Regular School,No,No,No,215,11.25,0.8046511627906977,0.013953488372093023,0.009302325581395349,0.004651162790697674,0.6558139534883721,0,0.046511627906976744,0.004651162790697674,0.2651162790697674,0.4232558139534884,NA
410001500853,OR,45.103694,-122.893841,41420,2014-2015,1,41047,Marion County,41,OREGON,Gervais High School,Gervais SD 1,00000000002137,4100015,00000000000000000808,Open,Regular School,No,No,N,331,15.96,0.7220543806646526,0.006042296072507553,0.00906344410876133,0.006042296072507553,0.5921450151057401,0,0.01812688821752266,0,0.3685800604229607,0.4743202416918429,NA
410001500853,OR,45.103694,-122.893841,41420,2015-2016,1,41047,Marion County,41,OREGON,Gervais High School,Gervais SD 1,00000000002137,4100015,00000000002137-00000000000000000808,Open,Regular School,No,No,No,359,16.24,0.7214484679665738,0.008356545961002786,0,0,0.6852367688022284,0,0.016713091922005572,0.002785515320334262,0.28690807799442897,0.4735376044568245,NA
410001500853,OR,45.103694000000004,-122.89384100000001,41420,2016-2017,1,41047,Marion County,41,OREGON,Gervais High School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000808,Open,Regular School,No,No,No,291,16.33,0.7216494845360825,0.01718213058419244,0.006872852233676976,0,0.6219931271477663,0,0.01718213058419244,0.010309278350515464,0.32646048109965636,0.45017182130584193,0
410001500853,OR,45.103694000000004,-122.89384100000001,41420,2017-2018,1,41047,Marion County,41,OREGON,Gervais High School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000808,Open,Regular School,No,No,No,308,17.39,0.7207792207792207,0.016233766233766232,0.00974025974025974,0.003246753246753247,0.6168831168831169,0,0.01948051948051948,0.00974025974025974,0.3246753246753247,0.45454545454545453,0
