"","GEOID","NAME","county","avg_hh_inc_quint_2ndlow_trc","avg_hh_inc_quint_3rdlow_trc","avg_hh_inc_quint_4thlow_trc","avg_hh_inc_quint_lowest_trc","avg_hh_inc_quint_top_trc","avg_hh_inc_vent_top_trc","est_tot_transp2work","gini_trc","hh_noworker_n_trc","hh_tot_n_trc","noinc_15up_trc","per_cap_inc_trc","per_cap_wht_inc_trc","pop_15up_trc","pop_trc","ratio_incpov_trc","yesinc_15up_trc","geoid","wht_prem_p_trc","palma"
"50","41005021801","Census Tract 218.01","Clackamas County",66055,90369,124465,34530,225527,309804,3046,0.3465,476,2248,496,41267,41382,5146,6075,1099,4650,41005021801,1.0027867303172,6.16004374409703
"51","41005021802","Census Tract 218.02","Clackamas County",30325,50078,72566,11433,133648,193698,2233,0.41,585,1957,318,26679,27763,3634,4488,865,3316,41005021802,1.04063120806627,9.27716844676469
"52","41005021900","Census Tract 219","Clackamas County",34069,59858,81705,12500,168400,324731,1674,0.4405,357,1418,266,27976,29428,2678,3701,1101,2412,41005021900,1.05190162996854,13.9462303248942
"53","41005022000","Census Tract 220","Clackamas County",46782,69340,105061,17952,170060,225118,3153,0.3751,786,2452,600,32733,33446,5449,6340,1174,4849,41005022000,1.02178229920875,6.95517038959434
"54","41005022101","Census Tract 221.01","Clackamas County",46516,69025,112529,22143,221801,355667,3301,0.4247,764,2558,624,34968,36584,5952,7186,1464,5328,41005022101,1.04621368107984,10.3603897522539
"55","41005022103","Census Tract 221.03","Clackamas County",64067,91482,123114,33034,224358,307662,4397,0.3502,379,2738,703,38548,39540,6265,7528,1648,5562,41005022103,1.02573414963163,6.3369481261779
"56","41005022105","Census Tract 221.05","Clackamas County",61644,89253,124138,27734,224888,348658,3507,0.3703,389,2251,703,37535,40379,5433,6476,1477,4730,41005022105,1.07576928200346,7.80187518181208
"57","41005022107","Census Tract 221.07","Clackamas County",39088,60412,79529,18230,152152,239720,2574,0.3791,339,1822,342,29734,31188,3661,4452,826,3319,41005022107,1.04890024887334,8.36456261558324
"58","41005022108","Census Tract 221.08","Clackamas County",28219,42502,68770,9241,129351,215514,1575,0.4344,385,1381,298,23833,23642,2658,3282,750,2360,41005022108,0.991985901900726,11.5063534436733
"59","41005022201","Census Tract 222.01","Clackamas County",27255,39032,58842,9362,98396,142954,2639,0.3819,1042,2726,450,23273,26629,4694,5745,922,4244,41005022201,1.14420143513943,7.80806729114892
"60","41005022205","Census Tract 222.05","Clackamas County",69468,100913,151273,31981,289719,455202,1882,0.3994,412,1424,335,48642,50334,3284,3804,688,2949,41005022205,1.03478475391637,8.97400664373232
"61","41005022206","Census Tract 222.06","Clackamas County",61953,109823,156516,28141,313684,430409,3430,0.4199,549,2491,687,49309,52736,5760,6926,1393,5073,41005022206,1.0695004968667,9.55466512753346
"62","41005022207","Census Tract 222.07","Clackamas County",93942,122963,167023,47837,376574,740393,3293,0.3975,248,1971,590,49656,56534,4981,6565,1856,4391,41005022207,1.13851296922829,10.4443253232143
"63","41005022208","Census Tract 222.08","Clackamas County",87070,131008,177396,40533,330669,584457,3783,0.3795,290,2391,892,50393,54138,5942,7376,1793,5050,41005022208,1.07431587720517,9.16055265158343
"64","41005022301","Census Tract 223.01","Clackamas County",49176,77400,109607,19652,180362,249346,1784,0.372,467,1536,410,31567,32705,3325,4291,1001,2915,41005022301,1.03605030569899,7.24548149009124
"65","41005022302","Census Tract 223.02","Clackamas County",44989,81621,123657,20416,199935,264462,2863,0.392,499,2071,561,33540,34743,4772,5895,1286,4211,41005022302,1.03586762075134,8.08690467089672
"66","41005022400","Census Tract 224","Clackamas County",38799,59178,79810,13684,134806,190013,2133,0.3671,361,1706,294,29169,29619,3398,4041,690,3104,41005022400,1.01542733724159,7.24093515995656
"67","41005022500","Census Tract 225","Clackamas County",43016,66138,89730,15823,155752,241139,3925,0.3788,692,2983,504,28875,30608,6218,7907,1710,5714,41005022500,1.06001731601732,8.19657030201057
"68","41005022602","Census Tract 226.02","Clackamas County",66888,97431,128757,33956,246145,397392,2292,0.3668,469,1661,255,41976,42918,3809,4585,940,3554,41005022602,1.0224413950829,7.88132164531355
"69","41005022603","Census Tract 226.03","Clackamas County",46572,72282,100437,22387,182507,318056,2104,0.3833,259,1438,361,30301,29542,3040,4054,1178,2679,41005022603,0.974951321738556,9.22449571484505
"70","41005022605","Census Tract 226.05","Clackamas County",50477,72573,109471,24712,192062,243846,3712,0.3707,692,2649,769,30784,32290,6681,8124,1598,5912,41005022605,1.04892151767152,6.48621473885808
"71","41005022606","Census Tract 226.06","Clackamas County",66234,91616,124405,30111,190377,267191,2527,0.3202,345,1818,435,36819,38708,4110,5079,1047,3675,41005022606,1.05130503272767,5.54654626602315
"72","41005022702","Census Tract 227.02","Clackamas County",72187,129272,176012,25327,359427,620727,3063,0.4377,588,2674,829,61540,63329,5515,6676,1373,4686,41005022702,1.02907052323692,12.7310334926267
"73","41005022707","Census Tract 227.07","Clackamas County",53521,93114,130686,13557,294313,557033,2990,0.4753,524,2413,500,46967,47635,4703,6062,1522,4203,41005022707,1.01422275214512,16.6085154596142
"74","41005022708","Census Tract 227.08","Clackamas County",51860,100234,167118,19745,327854,485548,2144,0.467,276,1518,450,46551,47527,3255,4310,1174,2805,41005022708,1.02096625206762,13.5618462397877
"75","41005022710","Census Tract 227.10","Clackamas County",38145,65781,98295,18544,179363,271130,1557,0.4072,155,1131,297,33567,33240,2226,2752,681,1929,41005022710,0.990258289391367,9.56552417576602
"76","41005022800","Census Tract 228","Clackamas County",44453,70652,129838,16846,309826,570791,1524,0.5098,1079,1995,162,60727,65530,3616,3761,257,3454,41005022800,1.07909167256739,18.6231749294442
"77","41005022901","Census Tract 229.01","Clackamas County",63333,100212,139648,32636,268298,472050,1987,0.393,266,1350,417,43760,44766,3032,3759,910,2615,41005022901,1.02298903107861,9.83755170940616
"78","41005022904","Census Tract 229.04","Clackamas County",35461,55893,76779,15014,122641,160934,1612,0.3549,424,1376,215,23775,24409,2709,3695,1018,2494,41005022904,1.02666666666667,6.37678058444775
"79","41005022905","Census Tract 229.05","Clackamas County",64264,96373,125529,28347,231200,392821,2267,0.3696,435,1625,382,40506,40921,3636,4467,948,3254,41005022905,1.01024539574384,8.48324713047046
"80","41005022906","Census Tract 229.06","Clackamas County",38491,57118,79585,20738,128941,175763,1401,0.336,407,1226,307,26804,27536,2555,3064,692,2248,41005022906,1.02730935681242,5.93503182562596
"81","41005022907","Census Tract 229.07","Clackamas County",32949,53716,82013,15083,134996,190199,1756,0.3838,466,1492,367,22958,23551,3270,4308,1226,2903,41005022907,1.0258297761129,7.91967854763491
"82","41005023001","Census Tract 230.01","Clackamas County",54397,90123,129693,24980,219427,295401,1577,0.3777,314,1251,543,38611,38795,2854,3390,637,2311,41005023001,1.00476548133951,7.44298726331305
"83","41005023002","Census Tract 230.02","Clackamas County",48824,78058,119793,16613,265755,426303,1715,0.4612,462,1440,370,38133,38435,3252,4014,864,2882,41005023002,1.00791964964729,13.0294176077754
"84","41005023100","Census Tract 231","Clackamas County",53248,86592,131471,25285,235292,370865,2925,0.402,658,2356,531,42829,43273,5255,5976,951,4724,41005023100,1.01036680753695,9.44481937529446
"85","41005023201","Census Tract 232.01","Clackamas County",52849,97761,134950,18330,230051,336567,2133,0.4017,394,1542,283,38929,39406,3753,4323,697,3470,41005023201,1.01225307611292,9.45691847314517
