school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,frl
2014-2015,41,OREGON,Amity Middle School,00000000002252,4101230,00000000000000001209,410123001320,113
2014-2015,41,OREGON,Eola Hills Charter School,00000000002252,4101230,00000000000000004505,410123001653,-1
2014-2015,41,OREGON,Annex Charter School,00000000002111,4101350,00000000000000000705,410135000753,56
2014-2015,41,OREGON,Arlington Community Charter School,00000000002005,4101470,00000000000000000323,410147000343,91
2014-2015,41,OREGON,W W Jones Elementary School,00000000002115,4101500,00000000000000000711,410150000759,-1
2014-2015,41,OREGON,Bellview Elementary School,00000000002041,4101560,00000000000000000375,410156000395,120
2014-2015,41,OREGON,Helman Elementary School,00000000002041,4101560,00000000000000000377,410156000397,137
2014-2015,41,OREGON,Walker Elementary School,00000000002041,4101560,00000000000000000379,410156000399,174
2014-2015,41,OREGON,Ashland Middle School,00000000002041,4101560,00000000000000000380,410156000400,242
2014-2015,41,OREGON,Ashland High School,00000000002041,4101560,00000000000000000381,410156000401,356
2014-2015,41,OREGON,John Muir Elementary School,00000000002041,4101560,00000000000000004476,410156001654,60
2014-2015,41,OREGON,Ashwood Elementary School,00000000002051,4101590,00000000000000000427,410159000448,-1
2014-2015,41,OREGON,Astor Elementary School,00000000001933,4101620,00000000000000000143,410162000152,262
2014-2015,41,OREGON,Astoria Middle School,00000000001933,4101620,00000000000000000144,410162000153,215
2014-2015,41,OREGON,Astoria Senior High School,00000000001933,4101620,00000000000000000146,410162000155,274
2014-2015,41,OREGON,Lewis & Clark Elementary School,00000000001933,4101620,00000000000000000147,410162000156,233
2014-2015,41,OREGON,Athena Elementary School,00000000002208,4101660,00000000000000001053,410166001112,111
2014-2015,41,OREGON,Weston Middle School,00000000002208,4101660,00000000000000001055,410166001114,117
2014-2015,41,OREGON,Weston-McEwen High School,00000000002208,4101660,00000000000000001056,410166001115,87
2014-2015,41,OREGON,Baker Middle School,00000000001894,4101710,00000000000000000001,410171000001,132
2014-2015,41,OREGON,Brooklyn Primary School,00000000001894,4101710,00000000000000000002,410171000002,326
2014-2015,41,OREGON,South Baker Intermediate School,00000000001894,4101710,00000000000000000007,410171000007,212
2014-2015,41,OREGON,Baker High School,00000000001894,4101710,00000000000000000008,410171000009,223
2014-2015,41,OREGON,Haines Elementary School,00000000001894,4101710,00000000000000000004,410171000030,69
2014-2015,41,OREGON,Keating Elementary School,00000000001894,4101710,00000000000000000005,410171000034,-1
