school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,Arts and Communication Magnet Academy,00000000002243,4101920,00000000000000001304,410192000213,32.70
2014-2015,41,OREGON,Community School,00000000002243,4101920,00000000000000001305,410192000220,17.95
2014-2015,41,OREGON,School of Science & Technology,00000000002243,4101920,00000000000000001314,410192000536,7.75
2014-2015,41,OREGON,Conestoga Middle School,00000000002243,4101920,00000000000000001319,410192000552,37.90
2014-2015,41,OREGON,Westview High School,00000000002243,4101920,00000000000000001320,410192000554,106.90
2014-2015,41,OREGON,Aloha-Huber Park School,00000000002243,4101920,00000000000000001153,410192001204,51.46
2014-2015,41,OREGON,Barnes Elementary School,00000000002243,4101920,00000000000000001154,410192001205,42.50
2014-2015,41,OREGON,Beaver Acres Elementary School,00000000002243,4101920,00000000000000001155,410192001206,43.94
2014-2015,41,OREGON,Bethany Elementary School,00000000002243,4101920,00000000000000001156,410192001207,23.19
2014-2015,41,OREGON,Cedar Mill Elementary School,00000000002243,4101920,00000000000000001158,410192001210,16.99
2014-2015,41,OREGON,Chehalem Elementary School,00000000002243,4101920,00000000000000001159,410192001211,28.55
2014-2015,41,OREGON,Cooper Mountain Elementary School,00000000002243,4101920,00000000000000001160,410192001212,24.71
2014-2015,41,OREGON,Fir Grove Elementary School,00000000002243,4101920,00000000000000001163,410192001213,27.60
2014-2015,41,OREGON,Hazeldale Elementary School,00000000002243,4101920,00000000000000001164,410192001215,23.98
2014-2015,41,OREGON,Hiteon Elementary School,00000000002243,4101920,00000000000000001165,410192001216,32.97
2014-2015,41,OREGON,Kinnaman Elementary School,00000000002243,4101920,00000000000000001166,410192001217,35.50
2014-2015,41,OREGON,McKay Elementary School,00000000002243,4101920,00000000000000001168,410192001219,22.40
2014-2015,41,OREGON,McKinley Elementary School,00000000002243,4101920,00000000000000001169,410192001220,41.30
2014-2015,41,OREGON,Montclair Elementary School,00000000002243,4101920,00000000000000001170,410192001222,21.00
2014-2015,41,OREGON,Oak Hills Elementary School,00000000002243,4101920,00000000000000001171,410192001223,28.41
2014-2015,41,OREGON,Raleigh Hills Elementary School,00000000002243,4101920,00000000000000001172,410192001224,33.67
2014-2015,41,OREGON,Raleigh Park Elementary School,00000000002243,4101920,00000000000000001173,410192001225,23.02
2014-2015,41,OREGON,Ridgewood Elementary School,00000000002243,4101920,00000000000000001174,410192001226,24.27
2014-2015,41,OREGON,Rock Creek Elementary School,00000000002243,4101920,00000000000000001175,410192001227,24.33
2014-2015,41,OREGON,Terra Linda Elementary School,00000000002243,4101920,00000000000000001176,410192001229,22.88
2014-2015,41,OREGON,Vose Elementary School,00000000002243,4101920,00000000000000001177,410192001230,46.25
2014-2015,41,OREGON,West Tualatin View Elementary School,00000000002243,4101920,00000000000000001178,410192001231,18.38
2014-2015,41,OREGON,William Walker Elementary School,00000000002243,4101920,00000000000000001179,410192001232,36.48
2014-2015,41,OREGON,Cedar Park Middle School,00000000002243,4101920,00000000000000001180,410192001233,50.54
2014-2015,41,OREGON,Five Oaks Middle School,00000000002243,4101920,00000000000000001181,410192001234,51.25
2014-2015,41,OREGON,Meadow Park Middle School,00000000002243,4101920,00000000000000001182,410192001235,43.39
2014-2015,41,OREGON,Mountain View Middle School,00000000002243,4101920,00000000000000001183,410192001236,44.96
2014-2015,41,OREGON,Highland Park Middle School,00000000002243,4101920,00000000000000001184,410192001237,36.12
2014-2015,41,OREGON,Whitford Middle School,00000000002243,4101920,00000000000000001185,410192001238,35.76
2014-2015,41,OREGON,Aloha High School,00000000002243,4101920,00000000000000001186,410192001239,98.80
